Fornecedor,Categoria,Sub-Categoria,Produto,Marca/Mod.,Requer manut,Preço,dpr,Obs.
DUTRA MAQUINAS,Jardim,Equipamento,Roçadeira - lamina faca reta roç. carrinho 500mm,,,72,2,
CORT VETOR,Jardim,Equipamento,Roçadeira - manutenção costal/lateral/carrinho gasolina,,,450,12,
DUTRA MAQUINAS,Jardim,Equipamento,Roçadeira - misturador frasco plastico para gasolina e oleo,,,10.78,12,OBRIGATORIO no uso de roçadeiras
REI DO ÓLEO VALINHOS,Jardim,Equipamento,Roçadeira - oleo semi sintético 10W40 lt,,,34,1,O VALOR DEFINIDO DEVE COMPOR OLEO MAIS GASOLINA E RENTABILIDADE/HORAS DE TRABALHO OU METROS QUADRADOS
REI DO ÓLEO VALINHOS,Jardim,Equipamento,Roçadeira - oleo semi sintético 15W40 lt,,,26,1,O VALOR DEFINIDO DEVE COMPOR OLEO MAIS GASOLINA E RENTABILIDADE/HORAS DE TRABALHO OU METROS QUADRADOS
REI DO ÓLEO VALINHOS,Jardim,Equipamento,Roçadeira - oleo semi sintético 5W30 lt,,,34,1,O VALOR DEFINIDO DEVE COMPOR OLEO MAIS GASOLINA E RENTABILIDADE/HORAS DE TRABALHO OU METROS QUADRADOS
JUND TELAS,Jardim,Equipamento,Roçadeira - Tela fachadeira -proteção corte grama 3.00x1.20 alt,Montar no cliente,,40,12,Opção de comprar a tela (pode ser tela comum ou a de sombrite MAIS CARA) e pedir p fazer dentro dos condominios com pessoal de campo. a tela especifica é muito cara e pouco usada. Altura padrão é de 1.20 a 1.50. altera somente a medida do comprimento de 2 a 3 mts.
DUTRA MAQUINAS,Jardim,Equipamento,Roçadeira costal gasolina,,,0,12,Checar se é costal ou lateral a mais comum é a costal porque se adapta tanto a terrenos planos como a taludes incremes. Marca recomendada STHILL DEVIDO A DURABILIDADE E ASSISTENCIA TECNICA EM VALINHOS (Tip tratores)
TIP TRAP,Jardim,Equipamento,Roçadeira elétrica,pequenas areas,,1100,12,Uso doméstico e pequenas áreas - usa nylon 2.0 mm e usa faca 03 pontas. marca trapp/sthill
CORT VETOR,Jardim,Equipamento,Roçadeira lateral gasolina,,,0,12,Sempre que houver trabalho em taludes com perigo de quedas. Checar se é costal ou lateral a mais comum é a costal porque se adapta tanto a terrenos planos como a taludes incremes. Marca recomendada STHILL DEVIDO A DURABILIDADE E ASSISTENCIA TECNICA EM VALINHOS (Tip tratores)
,Jardim,Equipamento,Soprador de folhas - Manutenção,,,450,12,
DUTRA MAQUINAS,Jardim,Equipamento,Soprador de folhas 2 tempos Stihl,,,1038,12,Marca recomendada STHILL DEVIDO A DURABILIDADE E ASSISTENCIA TECNICA EM VALINHOS (Tip tratores)
DUTRA MAQUINAS,Jardim,Ferramenta,Alicate universal,,,23.31,12,
DUTRA MAQUINAS,Jardim,Ferramenta,Aspersor irrigador para rega de grama convencional,,,39.77,12,Checar a real necessidade diamentro da area de rega e resistencia do produto. os preços variam muito
DUTRA MAQUINAS,Jardim,Ferramenta,Caixa de ferramenta de 3 bandejas,,,52.04,12,
DUTRA MAQUINAS,Jardim,Ferramenta,Carrinho pedreiro,,,93.95,12,
ANHANGUERA,Jardim,Ferramenta,Enxada,,,53.9,12,
ANHANGUERA,Jardim,Ferramenta,Enxadão,,,52,12,Mais usual é o enxadão para cavar buracos e plantar mudas que a enxada que é mais para obras
CAMPOLI,Jardim,Ferramenta,Escada alumínio 5 degraus convencional,,,99.8,12,ESTA É A DE NOSSO USO PADRÃO
DUTRA MAQUINAS,Jardim,Ferramenta,Facão,,,42,12,
DUTRA MAQUINAS,Jardim,Ferramenta,Fita isolante peq.,,,2.83,1,
DUTRA MAQUINAS,Jardim,Ferramenta,Foice,,,55.43,12,Função: roçar mato alto
DUTRA MAQUINAS,Jardim,Ferramenta,Forcado,,,81.03,12,Função: recolher pedras menores
ANHANGUERA,Jardim,Ferramenta,kit chaves de fenda/boca,,,30.47,12,Kit deve ser montado com a compra individual de varios modelos e tamanhos necessarios ao serviço de 3 a 6 peças é suficiente
DUTRA MAQUINAS,Jardim,Ferramenta,"Lima para enxada 8""",,,23.42,6,
DUTRA MAQUINAS,Jardim,Ferramenta,Lima para serrote,,,29.32,12,
CAMPOLI,Jardim,Ferramenta,'Mangueira jardim flexivel 1/2''',#NOME?,Não,4,12,Checar distancia de pontos entre torneiras para determinar a metragem
MERCADO LIVRE,Jardim,Ferramenta,Pá de pedreiro,,,20,12,
DUTRA MAQUINAS,Jardim,Ferramenta,Pazinha de jardim,,,4.95,12,
DUTRA MAQUINAS,Jardim,Ferramenta,Serrote de poda gde,,,72,12,
DUTRA MAQUINAS,Jardim,Ferramenta,Serrote de poda peq.,,,33,12,
DUTRA MAQUINAS,Jardim,Ferramenta,Tesoura de poda grande arbusto e grama,,,56,12,
DUTRA MAQUINAS,Jardim,Ferramenta,Tesoura de poda média,,,28,12,
DUTRA MAQUINAS,Jardim,Ferramenta,Tesoura de poda peq.,,,23,12,
DUTRA MAQUINAS,Jardim,Ferramenta,Vassoura de jardim metálica 18 dentes,,,43,12,Checar melhor opçao:plastico ou metal
CAMPOLI,Jardim,Ferramenta,Vassoura jardim ancinho metalica 18 dentes,,,32.9,12,Checar a melhor caso a caso plastico ou metal
CAMPOLI,Jardim,Ferramenta,Vassoura jardim ancinho plastica 18 dentes,,,25,12,Checar a melhor caso a caso plastico ou metal
PROTECAMP,Limpeza,EPI,Avental branco PVC,,,12,6,Uso em todos serviços aux de limpeza. manutenção etc (serv leves)
PROTECAMP,Limpeza,EPI,Bota PVC piso molhado,,,35,12,Cores preta ou branca. Checar a melhor opção em função local de uso
PROTECAMP,Limpeza,EPI,Botina/sapato biqueira de pvc,,,50,12,Cchecar real necessidade já existe um custo do sapato sem biqueira no custo do uniforme
PROTECAMP,Limpeza,EPI,Colete refletivo tipo X somente tiras cruzadas,,,12,12,Este modelo tem menor custo e funciona bem
DUTRA MAQUINAS,Limpeza,EPI,Luva nitrilica,,,7.5,2,Uso em todos os serv de limpeza leves e padrão. Duram mais que a de PVC comum e são recomendadas pela segurança e durabilidade. Uso OBRIGATORIO PARA AREA DE LIMPEZA. NÃO USAR LUVAS DE PVC
PROTECAMP,Limpeza,EPI,Mascara com valvula PFF2,,,3.7,6,Uso OBRIGATORIO para limpeza. uso de quimicos. cloro etc. é padrão
,Limpeza,Equipamento,Aspirador água e pó - manutenção - grande,,sim,350,12,CONSIDERAR TAMANHO. PREÇO E OUTROS FATORES NO VALOR
DUTRA MAQUINAS,Limpeza,Equipamento,Aspirador água e pó - manutenção - medio,,sim,250,12,CONSIDERAR TAMANHO. PREÇO E OUTROS FATORES NO VALOR
DUTRA MAQUINAS,Limpeza,Equipamento,Aspirador água e pó 20L,,sim,313,12,Boa opção marca Karcher. checar o modelo nas ultimas compras na controladoria
ANHANGUERA,Limpeza,Equipamento,Aspirador água e pó 48lts,,sim,899,12,Boa opção marca Karcher. checar o modelo nas ultimas compras na controladoria
,Limpeza,Equipamento,Aspirador água e pó 80 lts,Industrial,sim,1600,12,OPÇÃO: Locação baluarte JUL18: + R$ 90.00 filtro - Locação anual R$ 300.00 c/ filtro.
,Limpeza,Equipamento,Aspirador pó - saco descartavel com 3 unid.,,,18,4,CONSIDERAR TAMANHO E OUTROS FATORES NO VALOR
,Limpeza,Equipamento,Aspirador pó convencional,,,0,0,
,Limpeza,Equipamento,Aspirador pó convencional - manutenção,,,150,13,Uso muito esporadico normalmente usamos agua e pó pequeno da karcher checar o modelo nas ultimas compras na controladoria
ELÉTRICA VALINHOS,Limpeza,Equipamento,Cabo extensão elétrica 2x2.5 mm - UNID X METRO,,,3.56,24,CHECAR METRAGEM E BITOLA DO CABO COM RELAÇÃO AO TIPO DE EQUIPAMENTO - Uso em equipamentos de baixa potência. aspirador convencional. lavadora wap. Considerar no custo os plugs macho e fêmea de 10 amp R$ 2.50 cd em mai18.
,Limpeza,Equipamento,Cabo extensão elétrica 2x4 mm - UNID X METRO,,,4.6,24,CHECAR METRAGEM E BITOLA DO CABO COM RELAÇÃO AO TIPO DE EQUIPAMENTO - Uso em quipamentos de alta potência como: aspiradores industriais. enceradeiras. carrinho de cortar grama. Considerar no custo os plugs macho e fêmea de 10 amp R$ 4.50 cd em mai18.
DUTRA MAQUINAS,Limpeza,Equipamento,Enceradeira industrial - escova nylon 350 nylon,,,83.5,12,
,Limpeza,Equipamento,Enceradeira industrial - escova nylon 400 nylon,,,0,12,
,Limpeza,Equipamento,Enceradeira industrial - escova nylon 500 nylon,,,0,12,
,Limpeza,Equipamento,Enceradeira industrial - manutenção,,,250,12,
DUTRA MAQUINAS,Limpeza,Equipamento,Enceradeira industrial 350mm,,,1230,12,Checar se disponivel na sede. Analisar bem a real necessidade de uma enceradeira 100% do tempo no cliente ou disponibilizar esporadicamente sem custo maior ao cliente. Ex: piso frio. pisos novos. etc
,Limpeza,Equipamento,Enceradeira industrial 440mm,,,0,12,Boa marca para compra é CLEANER. Analisar bem a real necessidade de uma enceradeira 100% do tempo no cliente ou disponibilizar esporadicamente sem custo maior ao cliente. Ex: piso frio. pisos novos. etc
DUTRA MAQUINAS,Limpeza,Equipamento,Enceradeira industrial 510mm,,,1575,12,Analisar bem a real necessidade de uma enceradeira 100% do tempo no cliente ou disponibilizar esporadicamente sem custo maior ao cliente. Ex: piso frio. pisos novos. etc
CAMPOLI,Limpeza,Equipamento,Enceradeira/lavadora piso - disco 350 branco (Polimento),,,16.5,2,CHECAR SE É MARCA 3M E COMPARAR PREÇO E DURABILIDADE
CAMPOLI,Limpeza,Equipamento,Enceradeira/lavadora piso - disco 350 preto (Removedor),,,16.5,2,CHECAR SE É MARCA 3M E COMPARAR PREÇO E DURABILIDADE
CAMPOLI,Limpeza,Equipamento,Enceradeira/lavadora piso - disco 350 verde (Limpeza),,,16.5,2,CHECAR SE É MARCA 3M E COMPARAR PREÇO E DURABILIDADE
CAMPOLI,Limpeza,Equipamento,Enceradeira/lavadora piso - disco 440 preto (Removedor),,,26.9,2,CHECAR SE É MARCA 3M E COMPARAR PREÇO E DURABILIDADE
CAMPOLI,Limpeza,Equipamento,Enceradeira/lavadora piso - disco 440 verde (Limpeza),,,26.9,2,CHECAR SE É MARCA 3M E COMPARAR PREÇO E DURABILIDADE
CAMPOLI,Limpeza,Equipamento,Enceradeira/lavadora piso - disco 510 branco (Polimento),,,37.8,2,CHECAR SE É MARCA 3M E COMPARAR PREÇO E DURABILIDADE
CAMPOLI,Limpeza,Equipamento,Enceradeira/lavadora piso - disco 510 preto (Removedor),,,37.8,2,CHECAR SE É MARCA 3M E COMPARAR PREÇO E DURABILIDADE
CAMPOLI,Limpeza,Equipamento,Enceradeira/lavadora piso - disco 510 verde (Limpeza),,,37.8,3,CHECAR SE É MARCA 3M E COMPARAR PREÇO E DURABILIDADE
CAMPOLI,Limpeza,Equipamento,Enceradeira/lavadora piso- disco 440 branco (Polimento),,,26.9,2,CHECAR SE É MARCA 3M E COMPARAR PREÇO E DURABILIDADE
,Limpeza,Equipamento,Lavadora de alta pressão - manutenção,,,280,12,
DUTRA MAQUINAS,Limpeza,Equipamento,Lavadora de alta pressão 1740 libras,,,480,12,CHECAR 110 OU 220VOLTS ultimas compras INTERNET marca Wap mod Lider 2200 pressão 1800 lbs uso domestico garantia extendida por 2 anos
,Limpeza,Equipamento,Varredora convendional - manutenção,,,380,12,CONSIDERAR TAMANHO E OUTROS FATORES NO VALOR
,Limpeza,Equipamento,Varredora de piso convencional,wap modelo BK800,,0,12,Checar melhor modelo em função da necessidade da proposta
CAMPOLI,Limpeza,Produto,Álcool 46.2º convencional 1 lt,,,4,1,
CAMPOLI,Limpeza,Produto,Álcool 92º para TAREFAS ESPECIAIS 1 lt,,,6.4,1,
CAMPOLI,Limpeza,Produto,Álcool gel 1 lt,,,8.2,1,
CAMPOLI,Limpeza,Produto,Álcool gel 5 lts,,,35.9,1,
CAMPOLI,Limpeza,Produto,Álcool gel 500 ml,,,4.7,1,
CAMPOLI,Limpeza,Produto,Balde plástico 10 lts,,,4.6,6,
CAMPOLI,Limpeza,Produto,Balde plástico 15 lts,,,6.8,6,
CAMPOLI,Limpeza,Produto,Balde plástico 20 lts,,,9.9,6,Checar baldes muito grande podem ser pesados para o uso
CAMPOLI,Limpeza,Produto,Cloro 5% 20 lts,,,0,0,ATENÇÃO o cloro não deve ser de 1% porque é muito fraco e o de 10% é forte demais
CAMPOLI,Limpeza,Produto,Cloro 5% 5 lts,Harmoniex,,9.3,1,ATENÇÃO o cloro não deve ser de 1% porque é muito fraco e o de 10% é forte demais
CAMPOLI,Limpeza,Produto,Desengraxante industrial pisos e peças 5 lts,,,27.1,1,
CAMPOLI,Limpeza,Produto,Desengraxante para mãos em pasta 1 Kg,,,9.5,1,
CAMPOLI,Limpeza,Produto,Desengraxante para mãos líq. /gel 1 lt,,,0,1,
CAMPOLI,Limpeza,Produto,Desentupidor pia,,,2.4,12,
CAMPOLI,Limpeza,Produto,Desentupidor vaso sanitário,,,4.9,12,
CAMPOLI,Limpeza,Produto,Desincrustador vaso sanitário bowl cleanse 1 lt,Spartan,,21,8,Bowl cleanse marca spartan é o melhor.Ter cuidados uso exclusivo para tirar manchasinternas de vasos sanitarios. não usar em azulejos e pisos
CAMPOLI,Limpeza,Produto,Desincrustador vaso sanitário bowl cleanse 1 lt,,,0,0,
CAMPOLI,Limpeza,Produto,Desinfetante floral 20 lts,,,0,1,
CAMPOLI,Limpeza,Produto,Desinfetante floral 5 lts,,,5.9,1,
CAMPOLI,Limpeza,Produto,Detergente neutro 20 lts,,,0,1,
CAMPOLI,Limpeza,Produto,Detergente neutro 5 lts,,,7.9,1,
CAMPOLI,Limpeza,Produto,Detergente neutro 500 ml,,,1.55,1,
CAMPOLI,Limpeza,Produto,Detergente alcalino BLDFresh 5 lts,,,110,0,
CAMPOLI,Limpeza,Produto,Escova lava tanque tipo oval,,,1.8,3,
CAMPOLI,Limpeza,Produto,Escova sanitária lavatina redonda,,,2.8,6,
CAMPOLI,Limpeza,Produto,Espanador pequeno,,,2.4,12,
CAMPOLI,Limpeza,Produto,Fibra esponja dupla face,,,2.4,1,
CAMPOLI,Limpeza,Produto,Fibra LT - Suporte da base com cabo tam. grande,,,14.5,12,
CAMPOLI,Limpeza,Produto,Fibra LT - Suporte da base tam grande 102x260mm,,,0,1,
CAMPOLI,Limpeza,Produto,Fibra LT 102x260mm branca limpeza leve,,,1,1,
CAMPOLI,Limpeza,Produto,Fibra LT 102x260mm preta/fibraço limpeza pesada RISCOS,,,1,1,Limpeza pesada superficie resistente porque risca
CAMPOLI,Limpeza,Produto,Fibra LT 102x260mm verde uso geral,,,2.2,1,
CAMPOLI,Limpeza,Produto,Flanela amarela 28x48cm,,,1.1,1,
CAMPOLI,Limpeza,Produto,Flanela branca 28 x48,,,1.1,2,
CAMPOLI,Limpeza,Produto,Limpa carpete 5 lts,,,27.1,1,
CAMPOLI,Limpeza,Produto,Limpa inox 500 ml,,,18.9,6,
CAMPOLI,Limpeza,Produto,Limpa pedra 20 lts,,,9.5,1,CUIDADO AO USO DE LIMPA PEDRAS NÃO PODE SER USADO EM PISO CERAMICO E OUTROS. LIMPA PEDRA SÓ PODE SER USADO EM PEDRAS
CAMPOLI,Limpeza,Produto,Limpa pedra 5 lts,,,2.4,12,CUIDADO AO USO DE LIMPA PEDRAS NÃO PODE SER USADO EM PISO CERAMICO E OUTROS. LIMPA PEDRA SÓ PODE SER USADO EM PEDRAS
CAMPOLI,Limpeza,Produto,Limpa vidros 5 lts,,,21,4,Checar a real necessidade muitas vezes é usado apenas o detergente neutro
CAMPOLI,Limpeza,Produto,Limpa vidros 500 ml,,,4.9,8,Checar a real necessidade muitas vezes é usado apenas o detergente neutro
CAMPOLI,Limpeza,Produto,Limpador multi uso 5 lts,tipo veja,,5.9,1,
CAMPOLI,Limpeza,Produto,Limpador multi uso 20 lts,tipo veja,,0,1,
CAMPOLI,Limpeza,Produto,Limpador multi uso 500 ml,tipo veja,,1.55,1,
CAMPOLI,Limpeza,Produto,Lustra móveis 200 ml,,,7.9,1,
CAMPOLI,Limpeza,Produto,Pá lixo plástica cabo longo,,,4.9,12,
CAMPOLI,Limpeza,Produto,Pá lixo tipo bituca com tampa,,,27,12,
CAMPOLI,Limpeza,Produto,Pano limpeza alvejado especial 10 batidas 90x70,,,3.5,1,
CAMPOLI,Limpeza,Produto,Pano multiuso tipo perflex C/5 unidades,,,2.1,10,
CAMPOLI,Limpeza,Produto,Pedra Sanitária c/ alça plástica,,,2.25,1,
CAMPOLI,Limpeza,Produto,Polidor metais 200 ml,,,23.9,2,
CAMPOLI,Limpeza,Produto,Rodo 1 mt borracha puxa e seca - madeira,,,14.8,3,Uso muito esporadico devido tamanho. somente p grandes areas
CAMPOLI,Limpeza,Produto,Rodo 30 cm borracha puxa e seca - madeira,,,4.2,4,
CAMPOLI,Limpeza,Produto,Rodo 40 cm borracha puxa e seca - madeira,,,4.6,4,
CAMPOLI,Limpeza,Produto,Rodo 60 cm borracha puxa e seca - madeira,,,5.8,3,
CAMPOLI,Limpeza,Produto,Rodo 80 cm borracha puxa e seca - madeira,,,8.8,3,
CAMPOLI,Limpeza,Produto,Sabão em pó 1 kg,,,3.99,1,
CAMPOLI,Limpeza,Produto,Sabão em pó 5 kg,,,37.5,2,
CAMPOLI,Limpeza,Produto,Sabão pedra 5x200 grs,,,5.45,1,
CAMPOLI,Limpeza,Produto,Sabão pedra coco 5x200 grs LIMPEZA ESPECIAIS,,,8.9,1,
CAMPOLI,Limpeza,Produto,Sapolio cremoso 300 ml,,,3.5,1,
CAMPOLI,Limpeza,Produto,Vassoura limpa teto de sisal com cabo extensor madeira,,,15.3,12,
CAMPOLI,Limpeza,Produto,Vassoura nylon tipo noviça macia,,,3.99,2,
CAMPOLI,Limpeza,Produto,Vassoura nylon tipo piaçava dura,,,6.7,1,
CAMPOLI,Limpeza,Produto,Vassoura palha,,,10.9,2,
CAMPOLI,Limpeza,Produto,Vassoura prefeitura gari nylon 40cm,,,6.3,1,
CAMPOLI,Limpeza,Produto,Vassoura prefeitura gari nylon 60cm,,,9.3,2,
CAMPOLI,Limpeza,Utensílio,Carro coletor lixo 120 lts poliprop com tampa leve,JSN,,175,12,Checar a necessidade de compra com tampa ou sem tampa E O PESO A SER COLOCADO - padrão escritorio pouco peso leve ou reforçado recolhas pesadas
CAMPOLI,Limpeza,Utensílio,Carro coletor lixo 120 lts poliprop com tampa reforçado,,,210,0,Checar a necessidade de compra com tampa ou sem tampa E O PESO A SER COLOCADO - padrão escritorio pouco peso ou reforçado recolhas pesadas
CAMPOLI,Limpeza,Utensílio,Carro coletor lixo 240 lts poliprop com tampa,,,250,12,Checar a necessidade de compra com tampa ou sem tampa E O PESO A SER COLOCADO - padrão escritorio pouco peso ou reforçado recolhas pesadas
CAMPOLI,Limpeza,Utensílio,Carro coletor lixo 370 lts poliprop com tampa,,,0,12,Checar a necessidade de compra com tampa ou sem tampa E O PESO A SER COLOCADO - padrão escritorio pouco peso ou reforçado recolhas pesadas
CAMPOLI,Limpeza,Utensílio,Carro funcional,Completo,,460,12,
CAMPOLI,Limpeza,Utensílio,Escada alumínio 5 degraus convencional,,,109.9,12,ATENÇÃO NÃO FAZEMOS TRABALHO EM ALTURA. CHECAR MELHOR O TAMANHO DA ESCADA A SER USADA COM O TEC DE SEGURANÇA DA IRON
DUTRA MAQUINAS,Limpeza,Utensílio,Escada alumínio 6 degraus,,,133.76,12,ATENÇÃO NÃO FAZEMOS TRABALHO EM ALTURA. CHECAR MELHOR O TAMANHO DA ESCADA A SER USADA COM O TEC DE SEGURANÇA DA IRON
CAMPOLI,Limpeza,Utensílio,Escada alumínio 7 degraus,,,168.9,12,ATENÇÃO NÃO FAZEMOS TRABALHO EM ALTURA. CHECAR MELHOR O TAMANHO DA ESCADA A SER USADA COM O TEC DE SEGURANÇA DA IRON
CAMPOLI,Limpeza,Utensílio,Jarra dosadora,,,6.9,12,
CAMPOLI,Limpeza,Utensílio,Limpador vidro - borracha do rodo 35 cm,,,6.9,2,Checar depreciação
CAMPOLI,Limpeza,Utensílio,Limpador vidro - borracha do rodo 45 cm,,,12.5,2,Checar depreciação
CAMPOLI,Limpeza,Utensílio,Limpador vidro - combinado vice e versa 35cm,,,35,12,
CAMPOLI,Limpeza,Utensílio,Limpador vidro - combinado vice e versa 45cm,,,55,12,
CAMPOLI,Limpeza,Utensílio,Limpador vidro - haste extensora 2.5 mts,,,45,12,Checar qual a metragem necessaria no cliente
CAMPOLI,Limpeza,Utensílio,Limpador vidro - haste extensora 5 mts,,,99,12,
CAMPOLI,Limpeza,Utensílio,Limpador vidro - haste extensora 6 mts,,,172,12,
CAMPOLI,Limpeza,Utensílio,Limpador vidro - haste extensora 7.5 mts,,,200,12,
CAMPOLI,Limpeza,Utensílio,Limpador vidro - haste extensora 9 mts,,,295,12,
CAMPOLI,Limpeza,Utensílio,Limpador vidro - luva 35 cm,,,2.4,2,Checar depreciação
CAMPOLI,Limpeza,Utensílio,Limpador vidro - luva 45 cm,,,2.8,6,Checar depreciação
CAMPOLI,Limpeza,Utensílio,'Mangueira jardim flexivel 1/2''',UNID X METRO,,4,12,Checar distancia de pontos entre torneiras para determinar a metragem
CAMPOLI,Limpeza,Utensílio,Mop agua - Balde espremedor c/ carrinho,,,0,12,
DUTRA MAQUINAS,Limpeza,Utensílio,Mop agua - Balde espremedor c/ rodízios,,,294.07,12,
DUTRA MAQUINAS,Limpeza,Utensílio,Mop agua - Balde espremedor duplo c/ rodízios,,,439.06,12,
DUTRA MAQUINAS,Limpeza,Utensílio,Mop água - cabeleira semi sintetica,,,0,2,Checar preço e melhor opção de cabeleira
CAMPOLI,Limpeza,Utensílio,Mop água - cabeleira sintetica,,,18.6,2,Checar preço e melhor opção de cabeleira
CAMPOLI,Limpeza,Utensílio,Mop água - garra e cabo alumínio,,,40.3,12,
CAMPOLI,Limpeza,Utensílio,Mop pó - base e cabo aluminio 1mt,,,0,12,
CAMPOLI,Limpeza,Utensílio,Mop pó - base e cabo aluminio 60cm,,,39.8,12,
CAMPOLI,Limpeza,Utensílio,Mop pó - base e cabo aluminio 80cm,,,45.9,12,
CAMPOLI,Limpeza,Utensílio,Mop pó - base e caboaluminio 40cm,,,36.4,12,
,Limpeza,Utensílio,Mop pó - cabeleira 1mt,,,45.9,3,
CAMPOLI,Limpeza,Utensílio,Mop pó - cabeleira 40cm,,,19.9,3,
CAMPOLI,Limpeza,Utensílio,Mop pó - cabeleira 60cm,,,24.9,3,
CAMPOLI,Limpeza,Utensílio,Mop pó - cabeleira 80cm,,,31.2,3,
CAMPOLI,Limpeza,Utensílio,Pulverizador spray plastico 500 ml,,,5.9,12,
CAMPOLI,Limpeza,Utensílio,Sinalizador piso molhado,,,29.9,12,Disponivel na sede. modelo tripé
CAMPOLI,Limpeza,Utensílio,Varal de chão metal retrátil sem abas,,,42,12,Checar real necessidade e tamanho do local
CAMPOLI,Limpeza,Utensílio,Corda para varal aço reforçada 20 mts,Art Varal,,8.9,12,
,Seg/Port,Seg/Port,Armamento e munição,,,959.04,12,Checar valores com a Alice
,Seg/Port,Seg/Port,Bastão de ronda,,,1096.68,12,Checar valores com a Alice
,Seg/Port,Seg/Port,Bastão de ronda - manutenção,,,0,12,
,Seg/Port,Seg/Port,Bau para moto 45lts,,,150,12,Checar o valor com instalação. Checar com a Operação qual é o melhor tamanho. Opção de tamanhos 25lts e 80 lts.
,Seg/Port,Seg/Port,Button de ronda,,,9.48,12,Checar valores com a Alice
,Seg/Port,Seg/Port,Caixa de aço chaveada,,,110,12,Guarda até 2 armas. Checar com a Operação a melhor opção: caixa chaveada (2 armas) ou cofre.
,Seg/Port,Seg/Port,Capa de chuva convencional,,,16.44,12,Checar valores com a Alice
,Seg/Port,Seg/Port,Capacete e roupa de chuva motoqueiro,,,153.6,12,Checar valores com a Alice
,Seg/Port,Seg/Port,Celular,,,420,12,Checar valores com a Alice
,Seg/Port,Seg/Port,Celular - manutenção,,,0,12,
,Seg/Port,Seg/Port,Cofre,Para arma,,185,12,
,Seg/Port,Seg/Port,Colete balistico,,,315,12,Checar valores com a Alice
,Seg/Port,Seg/Port,Giroflex para carro padrao,,,80,12,Checar o valor com instalação. Melhor compra furacão em campinas ou internet. checar com a Controladoria o de nosso padrão de compra
,Seg/Port,Seg/Port,Giroflex para moto com haste 60 cm,,,165,12,Checar o valor com instalação. Checar com a Operação qual é o melhor tamanho. Opção de tamanhos 25lts e 80 lts.
,Seg/Port,Seg/Port,Lanterna,,,49.68,12,Checar valores com a Alice
,Seg/Port,Seg/Port,Ombrelone,,,0,12,Checar valores com a Alice
,Seg/Port,Seg/Port,Rádio Ht,,,1698.6,12,Checar valores com a Alice
,Seg/Port,Seg/Port,Rádio Ht - manutenção,,,0,12,Checar valores com a Alice
